
2024/09/25 (10:57:17) | INFO: Logger set to DEBUG
2024/09/25 (10:57:17) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/25 (10:57:17) | INFO: Running on /dev/pts/0
2024/09/25 (10:57:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/25 (10:57:17) | DEBUG: Shared::init() : Initialized.
2024/09/25 (10:57:17) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/09/25 (11:09:33) | DEBUG: Writing new config file
2024/09/25 (11:09:33) | INFO: Quitting! Runtime: 00:12:16

2024/10/08 (10:20:01) | ===> btop++ v.1.4.0
2024/10/08 (10:20:01) | INFO: Logger set to DEBUG
2024/10/08 (10:20:01) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/10/08 (10:20:01) | INFO: Running on /dev/pts/0
2024/10/08 (10:20:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/08 (10:20:01) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/08 (10:20:01) | DEBUG: Shared::init() : Initialized.
2024/10/08 (10:20:01) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/10/24 (18:15:17) | ===> btop++ v.1.4.0
2024/10/24 (18:15:17) | INFO: Logger set to DEBUG
2024/10/24 (18:15:17) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/10/24 (18:15:17) | INFO: Running on /dev/pts/0
2024/10/24 (18:15:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/24 (18:15:17) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/24 (18:15:17) | DEBUG: Shared::init() : Initialized.
2024/10/24 (18:15:17) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/10/24 (18:24:53) | DEBUG: Writing new config file
2024/10/24 (18:24:53) | INFO: Quitting! Runtime: 00:09:36
